image_id,asymmetry,border,color,normalized_lesion_area,diameter_mm
mel_0000,0.15920668900702895,0.3913329259167777,0.2162158206919677,0.20075334821428573,6.06691211758964
mel_0001,0.1481489067885723,0.38021713287683767,0.26213234284724335,0.09375,4.145929793656025
mel_0002,0.09367942502221904,0.6045214078395962,0.311577701015654,0.06317761479591837,3.40343858473016
mel_0003,0.2222790493470036,0.4990420553220395,0.2916270206981966,0.10712292729591837,4.431773143343106
mel_0004,0.2426681039989771,0.6135334782816819,0.19190734553926417,0.09058115433673469,4.075259146378019
mel_0005,0.11864556776364432,0.9232862096060566,0.16059641858570714,0.06443319515306123,3.4370918604253573
mel_0006,0.19278697423732594,0.600136927423742,0.2526994123070827,0.07298309948979592,3.6580316353137015
mel_0007,0.13581935312667082,0.8381288795379083,0.17498133158859194,0.09777582908163265,4.234011750487255
mel_0008,0.2013340188111613,0.6223936004337542,0.12085028141272684,0.08055644132653061,3.8431420897399877
mel_0009,0.21652692481816171,0.42841291789256275,0.15528709199177546,0.21027981505102042,6.209192132756723
mel_0010,0.14352570710936485,0.5370255053408013,0.19690215686363718,0.09189652423469388,4.1047418396073185
mel_0011,0.17151139257612058,0.8533931572227813,0.13917164966464163,0.0987125318877551,4.254244548577403
mel_0012,0.43987994205895964,0.3688589718740437,0.13634170460765574,0.26157924107142855,6.925289659588943
mel_0013,0.20108791750492228,0.3001020505531804,0.34286647176647317,0.1472217793367347,5.195440033999417
mel_0014,0.1131586773435771,0.43324079206238353,0.3184257556131091,0.05994897959183673,3.3153333548121635
mel_0015,0.3457925281751224,0.5252559459356337,0.14122080973921153,0.22789779974489796,6.464074773255708
mel_0016,0.35901078642732354,0.5199903531241269,0.18327845191660502,0.16468032525510204,5.494866726233569
mel_0017,0.3818069964196553,0.27121801602185214,0.10065571194530856,0.1837531887755102,5.804352074478577
mel_0018,0.12612110673955435,0.25652856854811756,0.19521172592408598,0.10606664540816327,4.409869341918749
