image_id,class_name,class_idx,image_path,mask_path
mel_0000,mel,0,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/images/mel_0000.jpg,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/masks/mel_0000.png
mel_0001,mel,0,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/images/mel_0001.jpg,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/masks/mel_0001.png
mel_0002,mel,0,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/images/mel_0002.jpg,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/masks/mel_0002.png
mel_0003,mel,0,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/images/mel_0003.jpg,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/masks/mel_0003.png
mel_0004,mel,0,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/images/mel_0004.jpg,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/masks/mel_0004.png
mel_0005,mel,0,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/images/mel_0005.jpg,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/masks/mel_0005.png
mel_0006,mel,0,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/images/mel_0006.jpg,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/masks/mel_0006.png
mel_0007,mel,0,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/images/mel_0007.jpg,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/masks/mel_0007.png
mel_0008,mel,0,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/images/mel_0008.jpg,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/masks/mel_0008.png
mel_0009,mel,0,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/images/mel_0009.jpg,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/masks/mel_0009.png
mel_0010,mel,0,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/images/mel_0010.jpg,/Users/karan/Documents/CBM-Neuro-approach/data/synthetic/masks/mel_0010.png
